fixed acidity,volatile acidity,quality,citric acid,total sulfur dioxide
7.9,0.49,5,0.32,144
8.2,0.5,5,0.35,127
6.4,0.37,6,0.25,49
6.8,0.63,5,0.12,126
7.6,0.55,5,0.21,28
7.8,0.59,5,0.33,120
7.3,0.58,5,0.3,55
11.5,0.3,6,0.6,27
5.4,0.835,7,0.08,93
6.9,1.09,4,0.06,31
9.6,0.32,7,0.47,24
8.8,0.37,5,0.48,145
6.8,0.5,5,0.11,49
7,0.42,5,0.35,39
7,0.43,6,0.36,37
12.8,0.3,7,0.74,28
7.8,0.57,5,0.31,120
7.8,0.44,5,0.28,95
11,0.3,7,0.58,19
9.7,0.53,6,0.6,19
8,0.725,6,0.24,62
11.6,0.44,6,0.64,15
8.2,0.57,5,0.26,65
7.8,0.735,6,0.08,41
7,0.49,5,0.49,121
8.7,0.625,5,0.16,49
8.1,0.725,5,0.22,41
7.5,0.49,5,0.19,44
7.8,0.53,5,0.33,144
7.8,0.34,6,0.37,58
7.4,0.53,5,0.26,72
6.8,0.61,5,0.04,10
8.6,0.645,6,0.25,28
8.4,0.635,4,0.36,55
7.7,0.43,6,0.25,63
8.9,0.59,6,0.5,81
9,0.82,5,0.14,23
6.9,0.52,5,0.25,37
5.2,0.48,7,0.04,106
8,0.38,6,0.06,49
8.5,0.37,6,0.2,58
8.2,1,6,0.09,37
7.2,0.63,6,0,38
7.2,0.645,6,0,39
8.9,0.635,5,0.37,62
12,0.38,6,0.56,24
7.7,0.58,6,0.1,109
15,0.21,7,0.44,24
7.3,0.66,6,0,23
7.1,0.68,5,0.07,51
8.2,0.6,5,0.17,73
7.7,0.53,6,0.06,39
10.8,0.32,6,0.44,37
7.1,0.6,6,0,34
11.1,0.35,5,0.48,21
7.7,0.775,5,0.42,86
8,0.57,5,0.23,119
9.4,0.34,5,0.37,13
6.6,0.695,5,0,56
7.7,0.41,5,0.76,45
10,0.31,7,0.47,33
7.9,0.33,5,0.23,45
7,0.975,4,0.04,67
8,0.52,5,0.03,35
7.9,0.37,5,0.23,49
12.5,0.56,5,0.49,27
11.8,0.26,7,0.52,10
8.1,0.87,4,0,61
7.9,0.35,8,0.46,37
6.9,0.54,6,0.04,27
11.5,0.18,6,0.51,23
7.9,0.545,6,0.06,61
10.9,0.37,5,0.58,65
8.4,0.715,5,0.2,38
7.5,0.65,5,0.18,94
10.3,0.32,8,0.45,13
8.9,0.4,7,0.32,47
11.4,0.26,6,0.44,19
7.7,0.27,7,0.68,10
7.6,0.52,5,0.12,53
9.9,0.59,5,0.07,71
12,0.45,6,0.55,49
7.5,0.4,6,0.12,53
8.7,0.52,7,0.09,49
11.6,0.42,5,0.53,98
11,0.2,5,0.48,18
10.4,0.55,6,0.23,48
6.9,0.36,6,0.25,16
13.3,0.34,6,0.52,53
10.8,0.5,5,0.46,27
10.6,0.83,5,0.37,70
7.1,0.63,5,0.06,29
7.2,0.65,5,0.02,31
6.9,0.67,5,0.06,33
7.5,0.53,6,0.06,44
11.1,0.18,6,0.48,15
8.3,0.705,5,0.12,28
7.4,0.67,5,0.12,21
8.4,0.65,5,0.6,90
10.3,0.53,6,0.48,25
7.6,0.62,5,0.32,54
10.3,0.41,6,0.42,14
10.3,0.43,6,0.44,12
7.4,0.29,6,0.38,30
7.9,0.53,6,0.24,105
9,0.46,6,0.31,98
8.6,0.47,5,0.3,135
7.4,0.36,5,0.29,72
7.1,0.35,6,0.29,53
9.6,0.56,5,0.23,92
9.6,0.77,6,0.12,74
9.8,0.66,7,0.39,59
9.3,0.61,5,0.26,87
7.8,0.62,5,0.05,18
10.3,0.59,6,0.42,73
10,0.49,6,0.2,50
11.6,0.53,7,0.66,14
10.3,0.44,5,0.5,13
13.4,0.27,6,0.62,21
10.7,0.46,5,0.39,15
10.2,0.36,6,0.64,41
8,0.58,6,0.28,114
8.4,0.56,5,0.08,44
7.9,0.65,7,0.01,38
11.9,0.695,7,0.53,21
8.9,0.43,6,0.45,16
7.8,0.43,5,0.32,58
12.4,0.49,6,0.58,99
12.5,0.28,7,0.54,29
12.2,0.34,6,0.5,21
10.6,0.42,6,0.48,18
10.9,0.39,6,0.47,14
11.9,0.57,6,0.5,32
