fixed acidity,total sulfur dioxide,volatile acidity,quality,citric acid
8.4,63,0.745,5,0.11
8.3,52,0.715,5,0.15
7.2,45,0.415,5,0.36
7.8,105,0.56,5,0.19
7.8,108,0.56,5,0.19
5.2,63,0.34,6,0
6.3,20,0.39,5,0.08
8.1,141,0.67,5,0.55
5.8,94,0.68,5,0.02
7.6,88,0.49,5,0.26
6.9,30,0.49,6,0.1
8.2,43,0.4,6,0.44
7.3,11,0.33,6,0.47
9.2,69,0.52,4,1
7.5,99,0.6,5,0.03
7.1,129,0.43,5,0.42
7.1,128,0.43,5,0.42
7.1,22,0.68,5,0
6.8,86,0.6,6,0.18
7.6,20,0.95,5,0.03
7.6,20,0.68,4,0.02
7.8,31,0.53,6,0.04
7.4,121,0.6,5,0.26
7.3,121,0.59,5,0.26
7.8,96,0.63,5,0.48
6.8,101,0.64,5,0.1
7.3,42,0.55,4,0.03
6.8,44,0.63,6,0.07
7.5,63,0.705,5,0.24
7.9,8,0.885,4,0.03
8,18,0.42,6,0.17
7.4,42,0.62,6,0.05
7.3,35,0.38,5,0.21
6.9,49,0.5,5,0.04
7.5,38,0.52,6,0.42
7,20,0.805,5,0
8.8,42,0.61,5,0.14
8.9,110,0.61,5,0.49
7.2,42,0.73,5,0.02
6.8,65,0.61,5,0.2
6.7,62,0.62,6,0.21
8.9,85,0.31,5,0.57
7.4,67,0.39,5,0.48
7.7,26,0.705,5,0.1
7.9,143,0.5,5,0.33
7.9,144,0.49,5,0.32
8.2,127,0.5,5,0.35
6.4,49,0.37,6,0.25
6.8,126,0.63,5,0.12
7.6,28,0.55,5,0.21
7.8,120,0.59,5,0.33
7.3,55,0.58,5,0.3
11.5,27,0.3,6,0.6
5.4,93,0.835,7,0.08
6.9,31,1.09,4,0.06
9.6,24,0.32,7,0.47
8.8,145,0.37,5,0.48
6.8,49,0.5,5,0.11
7,39,0.42,5,0.35
7,37,0.43,6,0.36
12.8,28,0.3,7,0.74
7.8,120,0.57,5,0.31
7.8,95,0.44,5,0.28
11,19,0.3,7,0.58
9.7,19,0.53,6,0.6
8,62,0.725,6,0.24
11.6,15,0.44,6,0.64
8.2,65,0.57,5,0.26
7.8,41,0.735,6,0.08
7,121,0.49,5,0.49
8.7,49,0.625,5,0.16
8.1,41,0.725,5,0.22
7.5,44,0.49,5,0.19
7.8,144,0.53,5,0.33
7.8,58,0.34,6,0.37
7.4,72,0.53,5,0.26
6.8,10,0.61,5,0.04
8.6,28,0.645,6,0.25
8.4,55,0.635,4,0.36
7.7,63,0.43,6,0.25
8.9,81,0.59,6,0.5
9,23,0.82,5,0.14
6.9,37,0.52,5,0.25
5.2,106,0.48,7,0.04
8,49,0.38,6,0.06
8.5,58,0.37,6,0.2
8.2,37,1,6,0.09
7.2,38,0.63,6,0
7.2,39,0.645,6,0
8.9,62,0.635,5,0.37
12,24,0.38,6,0.56
7.7,109,0.58,6,0.1
15,24,0.21,7,0.44
7.3,23,0.66,6,0
7.1,51,0.68,5,0.07
8.2,73,0.6,5,0.17
7.7,39,0.53,6,0.06
10.8,37,0.32,6,0.44
7.1,34,0.6,6,0
11.1,21,0.35,5,0.48
7.7,86,0.775,5,0.42
8,119,0.57,5,0.23
9.4,13,0.34,5,0.37
6.6,56,0.695,5,0
7.7,45,0.41,5,0.76
10,33,0.31,7,0.47
7.9,45,0.33,5,0.23
7,67,0.975,4,0.04
8,35,0.52,5,0.03
7.9,49,0.37,5,0.23
12.5,27,0.56,5,0.49
11.8,10,0.26,7,0.52
8.1,61,0.87,4,0
7.9,37,0.35,8,0.46
6.9,27,0.54,6,0.04
11.5,23,0.18,6,0.51
7.9,61,0.545,6,0.06
10.9,65,0.37,5,0.58
8.4,38,0.715,5,0.2
7.5,94,0.65,5,0.18
10.3,13,0.32,8,0.45
8.9,47,0.4,7,0.32
11.4,19,0.26,6,0.44
7.7,10,0.27,7,0.68
7.6,53,0.52,5,0.12
9.9,71,0.59,5,0.07
12,49,0.45,6,0.55
7.5,53,0.4,6,0.12
8.7,49,0.52,7,0.09
11.6,98,0.42,5,0.53
11,18,0.2,5,0.48
10.4,48,0.55,6,0.23
6.9,16,0.36,6,0.25
13.3,53,0.34,6,0.52
10.8,27,0.5,5,0.46
10.6,70,0.83,5,0.37
7.1,29,0.63,5,0.06
7.2,31,0.65,5,0.02
6.9,33,0.67,5,0.06
7.5,44,0.53,6,0.06
11.1,15,0.18,6,0.48
8.3,28,0.705,5,0.12
7.4,21,0.67,5,0.12
8.4,90,0.65,5,0.6
10.3,25,0.53,6,0.48
7.6,54,0.62,5,0.32
10.3,14,0.41,6,0.42
10.3,12,0.43,6,0.44
7.4,30,0.29,6,0.38
7.9,105,0.53,6,0.24
9,98,0.46,6,0.31
8.6,135,0.47,5,0.3
7.4,72,0.36,5,0.29
7.1,53,0.35,6,0.29
9.6,92,0.56,5,0.23
9.6,74,0.77,6,0.12
9.8,59,0.66,7,0.39
9.3,87,0.61,5,0.26
7.8,18,0.62,5,0.05
10.3,73,0.59,6,0.42
10,50,0.49,6,0.2
11.6,14,0.53,7,0.66
10.3,13,0.44,5,0.5
13.4,21,0.27,6,0.62
10.7,15,0.46,5,0.39
10.2,41,0.36,6,0.64
8,114,0.58,6,0.28
8.4,44,0.56,5,0.08
7.9,38,0.65,7,0.01
11.9,21,0.695,7,0.53
8.9,16,0.43,6,0.45
7.8,58,0.43,5,0.32
12.4,99,0.49,6,0.58
12.5,29,0.28,7,0.54
12.2,21,0.34,6,0.5
10.6,18,0.42,6,0.48
10.9,14,0.39,6,0.47
11.9,32,0.57,6,0.5
