Wine,fixed acidity,volatile acidity,quality,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol
40,8.1,0.66,5,0.22,2.2,0.069,9,23,0.9968,3.3,1.2,10.3
41,6.8,0.67,5,0.02,1.8,0.05,5,11,0.9962,3.48,0.52,9.5
42,4.6,0.52,4,0.15,2.1,0.054,8,65,0.9934,3.9,0.56,13.1
43,7.7,0.935,5,0.43,2.2,0.114,22,114,0.997,3.25,0.73,9.2
44,8.7,0.29,5,0.52,1.6,0.113,12,37,0.9969,3.25,0.58,9.5
45,6.4,0.4,5,0.23,1.6,0.066,5,12,0.9958,3.34,0.56,9.2
46,5.6,0.31,5,0.37,1.4,0.074,12,96,0.9954,3.32,0.58,9.2
47,8.8,0.66,5,0.26,1.7,0.074,4,23,0.9971,3.15,0.74,9.2
48,6.6,0.52,6,0.04,2.2,0.069,8,15,0.9956,3.4,0.63,9.4
49,6.6,0.5,6,0.04,2.1,0.068,6,14,0.9955,3.39,0.64,9.4
50,8.6,0.38,5,0.36,3,0.081,30,119,0.997,3.2,0.56,9.4
51,7.6,0.51,6,0.15,2.8,0.11,33,73,0.9955,3.17,0.63,10.2
52,7.7,0.62,5,0.04,3.8,0.084,25,45,0.9978,3.34,0.53,9.5
53,10.2,0.42,5,0.57,3.4,0.07,4,10,0.9971,3.04,0.63,9.6
54,7.5,0.63,5,0.12,5.1,0.111,50,110,0.9983,3.26,0.77,9.4
55,7.8,0.59,5,0.18,2.3,0.076,17,54,0.9975,3.43,0.59,10
56,7.3,0.39,6,0.31,2.4,0.074,9,46,0.9962,3.41,0.54,9.4
57,8.8,0.4,5,0.4,2.2,0.079,19,52,0.998,3.44,0.64,9.2
58,7.7,0.69,5,0.49,1.8,0.115,20,112,0.9968,3.21,0.71,9.3
59,7.5,0.52,7,0.16,1.9,0.085,12,35,0.9968,3.38,0.62,9.5
60,7,0.735,5,0.05,2,0.081,13,54,0.9966,3.39,0.57,9.8
61,7.2,0.725,5,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9
62,7.5,0.52,5,0.11,1.5,0.079,11,39,0.9968,3.42,0.58,9.6
63,6.6,0.705,5,0.07,1.6,0.076,6,15,0.9962,3.44,0.58,10.7
64,9.3,0.32,5,0.57,2,0.074,27,65,0.9969,3.28,0.79,10.7
65,8,0.705,6,0.05,1.9,0.074,8,19,0.9962,3.34,0.95,10.5
66,7.7,0.63,6,0.08,1.9,0.076,15,27,0.9967,3.32,0.54,9.5
67,7.7,0.67,5,0.23,2.1,0.088,17,96,0.9962,3.32,0.48,9.5
68,7.7,0.69,5,0.22,1.9,0.084,18,94,0.9961,3.31,0.48,9.5
69,8.3,0.675,4,0.26,2.1,0.084,11,43,0.9976,3.31,0.53,9.2
70,9.7,0.32,5,0.54,2.5,0.094,28,83,0.9984,3.28,0.82,9.6
71,8.8,0.41,5,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5
72,6.8,0.785,6,0,2.4,0.104,14,30,0.9966,3.52,0.55,10.7
73,6.7,0.75,5,0.12,2,0.086,12,80,0.9958,3.38,0.52,10.1
74,8.3,0.625,4,0.2,1.5,0.08,27,119,0.9972,3.16,1.12,9.1
75,6.2,0.45,5,0.2,1.6,0.069,3,15,0.9958,3.41,0.56,9.2
76,7.8,0.43,5,0.7,1.9,0.464,22,67,0.9974,3.13,1.28,9.4
77,7.4,0.5,5,0.47,2,0.086,21,73,0.997,3.36,0.57,9.1
78,7.3,0.67,5,0.26,1.8,0.401,16,51,0.9969,3.16,1.14,9.4
79,6.3,0.3,6,0.48,1.8,0.069,18,61,0.9959,3.44,0.78,10.3
80,6.9,0.55,5,0.15,2.2,0.076,19,40,0.9961,3.41,0.59,10.1
81,8.6,0.49,6,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9
82,7.7,0.49,5,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6
83,9.3,0.39,5,0.44,2.1,0.107,34,125,0.9978,3.14,1.22,9.5
84,7,0.62,5,0.08,1.8,0.076,8,24,0.9978,3.48,0.53,9
85,7.9,0.52,5,0.26,1.9,0.079,42,140,0.9964,3.23,0.54,9.5
86,8.6,0.49,5,0.29,2,0.11,19,133,0.9972,2.93,1.98,9.8
87,5,1.02,4,0.04,1.4,0.045,41,85,0.9938,3.75,0.48,10.5
88,4.7,0.6,6,0.17,2.3,0.058,17,106,0.9932,3.85,0.6,12.9
89,6.8,0.775,5,0,3,0.102,8,23,0.9965,3.45,0.56,10.7
90,7,0.5,5,0.25,2,0.07,3,22,0.9963,3.25,0.63,9.2
91,7.6,0.9,5,0.06,2.5,0.079,5,10,0.9967,3.39,0.56,9.8
92,8.1,0.545,6,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9
93,8.3,0.61,6,0.3,2.1,0.084,11,50,0.9972,3.4,0.61,10.2
94,7.8,0.5,6,0.3,1.9,0.075,8,22,0.9959,3.31,0.56,10.4
95,8.1,0.575,5,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2
96,7.2,0.49,5,0.24,2.2,0.07,5,36,0.996,3.33,0.48,9.4
97,7.8,0.41,5,0.68,1.7,0.467,18,69,0.9973,3.08,1.31,9.3
98,6.2,0.63,5,0.31,1.7,0.088,15,64,0.9969,3.46,0.79,9.3
99,8,0.33,6,0.53,2.5,0.091,18,80,0.9976,3.37,0.8,9.6
100,8.1,0.785,5,0.52,2,0.122,37,153,0.9969,3.21,0.69,9.3
