fixed acidity,volatile acidity,quality,residual sugar,total sulfur dioxide,density,pH,sulphates,alcohol
7.8,0.56,5,1.8,47,0.9964,3.19,0.93,9.5
8.4,0.62,5,2.2,108,0.9964,3.15,0.66,9.8
8.4,0.6,5,2.2,111,0.9964,3.15,0.66,9.8
10.1,0.31,6,2.3,46,0.9988,3.32,0.67,9.7
9.4,0.4,6,2.2,62,0.9966,3.07,0.63,10.5
8.3,0.54,6,1.9,40,0.9978,3.39,0.61,10
7.8,0.56,6,2,28,0.997,3.37,0.5,9.4
8.8,0.55,6,2.2,56,0.9962,3.21,0.6,10.9
7,0.69,6,1.8,89,0.9959,3.34,0.54,9.2
7.3,1.07,5,1.7,89,0.9962,3.3,0.57,9
7.3,0.695,5,2.5,13,0.998,3.49,0.52,9.2
8,0.71,5,2.6,34,0.9976,3.44,0.53,9.5
7.8,0.5,5,1.6,102,0.996,3.39,0.48,9.5
9,0.62,5,1.9,90,0.9984,3.16,0.7,9.4
8.2,1.33,5,1.7,12,0.9964,3.53,0.49,10.9
8.1,1.33,5,1.8,12,0.9964,3.54,0.48,10.9
8,0.59,7,1.8,16,0.9962,3.42,0.92,10.5
6.1,0.38,5,1.8,19,0.9955,3.42,0.57,9.4
8,0.745,5,2,134,0.9968,3.24,0.66,9.4
5.6,0.5,5,2.3,99,0.9937,3.63,0.63,13
6.6,0.5,6,1.5,26,0.9952,3.4,0.58,9.8
7.9,1.04,6,2.2,29,0.9959,3.22,0.55,9.9
8.4,0.745,5,1.9,63,0.9965,3.19,0.82,9.6
8.3,0.715,5,1.8,52,0.9968,3.23,0.77,9.5
7.2,0.415,5,2,45,0.9972,3.48,0.64,9.2
7.8,0.56,5,2.1,105,0.9962,3.33,0.54,9.5
7.8,0.56,5,2,108,0.9962,3.32,0.54,9.5
5.2,0.34,6,1.8,63,0.9916,3.68,0.79,14
6.3,0.39,5,1.7,20,0.9954,3.34,0.58,9.4
8.1,0.67,5,1.8,141,0.9968,3.17,0.62,9.4
5.8,0.68,5,1.8,94,0.9944,3.54,0.52,10
7.6,0.49,5,1.6,88,0.9968,3.11,0.8,9.3
6.9,0.49,6,2.3,30,0.9959,3.42,0.58,10.2
8.2,0.4,6,2.8,43,0.9975,3.53,0.61,10.5
7.3,0.33,6,2.1,11,0.9958,3.33,0.53,10.3
9.2,0.52,4,3.4,69,0.9996,2.74,2,9.4
7.5,0.6,5,1.8,99,0.995,3.35,0.54,10.1
7.1,0.43,5,5.5,129,0.9973,3.42,0.72,10.5
7.1,0.43,5,5.5,128,0.9973,3.42,0.71,10.5
7.1,0.68,5,2.2,22,0.9969,3.48,0.5,9.3
6.8,0.6,6,1.9,86,0.9968,3.59,0.57,9.3
7.6,0.95,5,2,20,0.9959,3.2,0.56,9.6
7.6,0.68,4,1.3,20,0.9965,3.17,1.08,9.2
7.8,0.53,6,1.7,31,0.9964,3.33,0.56,10
7.4,0.6,5,7.3,121,0.9982,3.37,0.49,9.4
7.3,0.59,5,7.2,121,0.9981,3.37,0.49,9.4
7.8,0.63,5,1.7,96,0.9961,3.19,0.62,9.5
6.8,0.64,5,2.1,101,0.9956,3.34,0.52,10.2
7.3,0.55,4,1.6,42,0.9956,3.37,0.48,9
6.8,0.63,6,2.1,44,0.9953,3.47,0.55,10.4
7.5,0.705,5,1.8,63,0.9964,3,1.59,9.5
7.9,0.885,4,1.8,8,0.9972,3.36,0.33,9.1
8,0.42,6,2,18,0.9972,3.29,0.61,9.2
7.4,0.62,6,1.9,42,0.9961,3.42,0.57,11.5
7.3,0.38,5,2,35,0.9961,3.33,0.47,9.5
6.9,0.5,5,1.5,49,0.9958,3.35,0.78,9.5
7.5,0.52,6,2.3,38,0.9972,3.58,0.61,10.5
7,0.805,5,2.5,20,0.9969,3.48,0.56,9.6
8.8,0.61,5,2.4,42,0.9969,3.19,0.59,9.5
8.9,0.61,5,2,110,0.9972,3.12,1.02,9.3
7.2,0.73,5,2.5,42,0.9972,3.44,0.52,9.3
6.8,0.61,5,1.8,65,0.9971,3.54,0.58,9.3
6.7,0.62,6,1.9,62,0.997,3.52,0.58,9.3
8.9,0.31,5,2,85,0.9971,3.26,0.53,9.7
7.4,0.39,5,2,67,0.9972,3.34,0.55,9.2
7.7,0.705,5,2.6,26,0.9976,3.39,0.49,9.7
7.9,0.5,5,2,143,0.9968,3.2,0.55,9.5
7.9,0.49,5,1.9,144,0.9968,3.2,0.55,9.5
8.2,0.5,5,2.9,127,0.9976,3.23,0.62,9.4
6.4,0.37,6,1.9,49,0.9974,3.57,0.62,9.8
6.8,0.63,5,3.8,126,0.9969,3.28,0.61,9.5
7.6,0.55,5,2.2,28,0.9964,3.28,0.55,9.7
7.8,0.59,5,2,120,0.9968,3.25,0.54,9.4
7.3,0.58,5,2.4,55,0.9968,3.46,0.59,10.2
11.5,0.3,6,2,27,0.9981,3.11,0.97,10.1
5.4,0.835,7,1.2,93,0.9924,3.57,0.85,13
6.9,1.09,4,2.1,31,0.9948,3.51,0.43,11.4
9.6,0.32,7,1.4,24,0.99695,3.22,0.82,10.3
8.8,0.37,5,2.1,145,0.9975,3.04,1.03,9.3
6.8,0.5,5,1.5,49,0.99545,3.36,0.79,9.5
7,0.42,5,1.6,39,0.9961,3.34,0.55,9.2
7,0.43,6,1.6,37,0.99615,3.34,0.56,9.2
12.8,0.3,7,2.6,28,0.9994,3.2,0.77,10.8
7.8,0.57,5,1.8,120,0.99625,3.29,0.53,9.3
7.8,0.44,5,2.7,95,0.9966,3.22,0.67,9.4
11,0.3,7,2.1,19,0.998,3.31,0.88,10.5
9.7,0.53,6,2,19,0.99585,3.3,0.86,12.4
8,0.725,6,2.8,62,0.99685,3.35,0.56,10
11.6,0.44,6,2.1,15,0.998,3.21,0.67,10.2
8.2,0.57,5,2.2,65,0.9959,3.3,0.43,10.1
7.8,0.735,6,2.4,41,0.9974,3.24,0.71,9.8
7,0.49,5,5.6,121,0.9974,3.34,0.76,10.5
8.7,0.625,5,2,49,0.9962,3.14,0.57,11
8.1,0.725,5,2.2,41,0.9967,3.36,0.55,9.1
7.5,0.49,5,1.9,44,0.9957,3.39,0.54,9.7
7.8,0.53,5,2.4,144,0.99655,3.3,0.6,9.5
7.8,0.34,6,2,58,0.9964,3.34,0.59,9.4
7.4,0.53,5,2,72,0.9957,3.15,0.57,9.4
6.8,0.61,5,1.5,10,0.99525,3.42,0.6,9.5
8.6,0.645,6,2,28,0.99815,3.28,0.6,10
8.4,0.635,4,2,55,0.99745,3.31,0.57,10.4
7.7,0.43,6,2.6,63,0.99615,3.37,0.58,10.5
8.9,0.59,6,2,81,0.9964,3.04,1.61,9.5
9,0.82,5,2.6,23,0.9984,3.39,0.63,9.8
6.9,0.52,5,2.6,37,0.99685,3.46,0.5,11
5.2,0.48,7,1.6,106,0.9927,3.54,0.62,12.2
8,0.38,6,1.8,49,0.99625,3.37,0.52,9.9
8.5,0.37,6,2.8,58,0.998,3.34,0.7,9.6
8.2,1,6,2.3,37,0.99685,3.32,0.55,9
7.2,0.63,6,1.9,38,0.99675,3.37,0.58,9
7.2,0.645,6,1.9,39,0.99675,3.37,0.58,9.2
8.9,0.635,5,1.7,62,0.9971,3,1.09,9.3
12,0.38,6,2.1,24,0.99925,3.14,0.71,10.9
7.7,0.58,6,1.8,109,0.99565,3.08,0.49,9.8
15,0.21,7,2.2,24,1.00005,3.07,0.84,9.2
7.3,0.66,6,2,23,0.9983,3.61,0.96,9.9
7.1,0.68,5,1.9,51,0.99685,3.38,0.52,9.5
8.2,0.6,5,2.3,73,0.9963,3.2,0.45,9.3
7.7,0.53,6,1.7,39,0.99615,3.35,0.48,9.8
10.8,0.32,6,1.6,37,0.9985,3.22,0.78,10
7.1,0.6,6,1.8,34,0.9972,3.47,0.7,9.9
11.1,0.35,5,3.1,21,0.9986,3.17,0.53,10.5
7.7,0.775,5,1.9,86,0.9959,3.23,0.59,9.5
8,0.57,5,3.2,119,0.99675,3.26,0.57,9.3
9.4,0.34,5,2.2,13,0.998,3.22,0.62,9.2
6.6,0.695,5,2.1,56,0.9968,3.49,0.67,9.2
7.7,0.41,5,1.8,45,0.9968,3.06,1.26,9.4
10,0.31,7,2.6,33,0.99965,3.36,0.8,10.5
7.9,0.33,5,1.7,45,0.99625,3.29,0.65,9.3
7,0.975,4,2,67,0.99565,3.35,0.6,9.4
8,0.52,5,1.7,35,0.99575,3.34,0.57,10
7.9,0.37,5,1.8,49,0.9963,3.28,0.67,9.3
12.5,0.56,5,2.4,27,0.9999,3.08,0.87,10.9
11.8,0.26,7,1.8,10,0.9968,3.2,0.72,10.2
8.1,0.87,4,3.3,61,1.00025,3.6,0.72,9.8
7.9,0.35,8,3.6,37,0.9973,3.35,0.86,12.8
6.9,0.54,6,3,27,0.9987,3.69,0.91,9.4
11.5,0.18,6,4,23,0.9996,3.28,0.97,10.1
7.9,0.545,6,4,61,0.9965,3.36,0.67,10.7
10.9,0.37,5,4,65,0.99935,3.22,0.78,10.1
8.4,0.715,5,2.4,38,0.99735,3.31,0.64,9.4
7.5,0.65,5,7,94,0.99915,3.38,0.77,9.4
10.3,0.32,8,6.4,13,0.9976,3.23,0.82,12.6
8.9,0.4,7,5.6,47,0.9991,3.38,0.77,10.5
11.4,0.26,6,3.6,19,0.9986,3.12,0.82,9.3
7.7,0.27,7,3.5,10,0.9972,3.25,1.08,9.9
7.6,0.52,5,3,53,0.9971,3.36,0.57,9.1
9.9,0.59,5,3.4,71,1.00015,3.31,0.71,9.8
12,0.45,6,2,49,0.9997,3.1,0.76,10.3
7.5,0.4,6,3,53,0.9967,3.37,0.7,10.3
8.7,0.52,7,2.5,49,0.9976,3.34,0.86,10.6
11.6,0.42,5,3.3,98,1.001,3.2,0.95,9.2
11,0.2,5,2,18,0.9979,3.3,0.71,10.5
10.4,0.55,6,2.7,48,0.9994,3.22,0.64,10.3
6.9,0.36,6,2.4,16,0.9964,3.41,0.6,10.1
13.3,0.34,6,3.2,53,1.0014,3.05,0.81,9.5
10.8,0.5,5,2.5,27,1.0001,3.05,0.64,9.5
10.6,0.83,5,2.6,70,0.9981,3.16,0.52,9.9
7.1,0.63,5,2,29,0.99855,3.67,0.73,9.6
7.2,0.65,5,2.3,31,0.9993,3.67,0.8,9.7
6.9,0.67,5,2.1,33,0.99845,3.68,0.71,9.6
7.5,0.53,6,2.6,44,0.9965,3.38,0.59,10.7
11.1,0.18,6,1.5,15,0.9973,3.22,0.64,10.1
8.3,0.705,5,2.6,28,0.9994,3.51,0.72,10
7.4,0.67,5,1.6,21,0.996,3.39,0.54,9.5
8.4,0.65,5,2.1,90,0.9973,3.2,0.52,9.2
10.3,0.53,6,2.5,25,0.9998,3.12,0.59,9.3
7.6,0.62,5,2.2,54,0.9966,3.36,0.52,9.4
10.3,0.41,6,2.4,14,0.9994,3.19,0.62,9.5
10.3,0.43,6,2.4,12,0.9994,3.19,0.63,9.5
7.4,0.29,6,1.7,30,0.9968,3.41,0.53,9.5
7.9,0.53,6,2,105,0.996,3.27,0.54,9.4
9,0.46,6,2.8,98,0.99815,3.32,0.63,9.5
8.6,0.47,5,3,135,0.9976,3.3,0.53,9.4
7.4,0.36,5,2.6,72,0.99645,3.39,0.68,11
7.1,0.35,6,2.5,53,0.9962,3.42,0.65,11
9.6,0.56,5,3.4,92,0.9996,3.3,0.65,10.1
9.6,0.77,6,2.9,74,0.99865,3.3,0.64,10.4
9.8,0.66,7,3.2,59,0.9989,3.37,0.71,11.5
9.3,0.61,5,3.4,87,0.99975,3.24,0.62,9.7
7.8,0.62,5,2.3,18,0.99735,3.29,0.63,9.3
10.3,0.59,6,2.8,73,0.999,3.28,0.7,9.5
10,0.49,6,11,50,1.0015,3.16,0.69,9.2
11.6,0.53,7,3.65,14,0.9978,3.05,0.74,11.5
10.3,0.44,5,4.5,13,0.998,3.28,0.83,11.5
13.4,0.27,6,2.6,21,1.0002,3.16,0.67,9.7
10.7,0.46,5,2,15,0.9981,3.18,0.62,9.5
10.2,0.36,6,2.9,41,0.998,3.23,0.66,12.5
8,0.58,6,3.2,114,0.9973,3.22,0.54,9.4
8.4,0.56,5,2.1,44,0.9958,3.13,0.52,11
7.9,0.65,7,2.5,38,0.9963,3.34,0.74,11.7
11.9,0.695,7,3.4,21,0.9992,3.17,0.84,12.2
8.9,0.43,6,1.9,16,0.9948,3.35,0.7,12.5
7.8,0.43,5,2.8,58,0.9974,3.31,0.64,10.3
12.4,0.49,6,3,99,1.0008,3.16,1,11.5
12.5,0.28,7,2.3,29,0.9997,3.11,1.36,9.8
12.2,0.34,6,2.4,21,1,3.12,1.18,9.2
10.6,0.42,6,2.7,18,0.9972,3.21,0.87,11.3
10.9,0.39,6,1.8,14,0.9982,3.3,0.75,9.8
11.9,0.57,6,2.6,32,1.0006,3.12,0.78,10.7
