quality,fixed acidity,free sulfur dioxide,volatile acidity,citric acid,residual sugar,chlorides,total sulfur dioxide,density,pH,sulphates,alcohol
5,7.3,12,0.45,0.36,5.9,0.074,87,0.9978,3.33,0.83,10.5
4,8.8,17,0.61,0.3,2.8,0.088,46,0.9976,3.26,0.51,9.3
6,7.5,8,0.49,0.2,2.6,0.332,14,0.9968,3.21,0.9,10.5
5,8.1,9,0.66,0.22,2.2,0.069,23,0.9968,3.3,1.2,10.3
5,6.8,5,0.67,0.02,1.8,0.05,11,0.9962,3.48,0.52,9.5
4,4.6,8,0.52,0.15,2.1,0.054,65,0.9934,3.9,0.56,13.1
5,7.7,22,0.935,0.43,2.2,0.114,114,0.997,3.25,0.73,9.2
5,8.7,12,0.29,0.52,1.6,0.113,37,0.9969,3.25,0.58,9.5
5,6.4,5,0.4,0.23,1.6,0.066,12,0.9958,3.34,0.56,9.2
5,5.6,12,0.31,0.37,1.4,0.074,96,0.9954,3.32,0.58,9.2
5,8.8,4,0.66,0.26,1.7,0.074,23,0.9971,3.15,0.74,9.2
6,6.6,8,0.52,0.04,2.2,0.069,15,0.9956,3.4,0.63,9.4
6,6.6,6,0.5,0.04,2.1,0.068,14,0.9955,3.39,0.64,9.4
5,8.6,30,0.38,0.36,3,0.081,119,0.997,3.2,0.56,9.4
6,7.6,33,0.51,0.15,2.8,0.11,73,0.9955,3.17,0.63,10.2
5,7.7,25,0.62,0.04,3.8,0.084,45,0.9978,3.34,0.53,9.5
5,10.2,4,0.42,0.57,3.4,0.07,10,0.9971,3.04,0.63,9.6
5,7.5,50,0.63,0.12,5.1,0.111,110,0.9983,3.26,0.77,9.4
5,7.8,17,0.59,0.18,2.3,0.076,54,0.9975,3.43,0.59,10
6,7.3,9,0.39,0.31,2.4,0.074,46,0.9962,3.41,0.54,9.4
5,8.8,19,0.4,0.4,2.2,0.079,52,0.998,3.44,0.64,9.2
5,7.7,20,0.69,0.49,1.8,0.115,112,0.9968,3.21,0.71,9.3
7,7.5,12,0.52,0.16,1.9,0.085,35,0.9968,3.38,0.62,9.5
5,7,13,0.735,0.05,2,0.081,54,0.9966,3.39,0.57,9.8
5,7.2,4,0.725,0.05,4.65,0.086,11,0.9962,3.41,0.39,10.9
5,7.5,11,0.52,0.11,1.5,0.079,39,0.9968,3.42,0.58,9.6
5,6.6,6,0.705,0.07,1.6,0.076,15,0.9962,3.44,0.58,10.7
5,9.3,27,0.32,0.57,2,0.074,65,0.9969,3.28,0.79,10.7
6,8,8,0.705,0.05,1.9,0.074,19,0.9962,3.34,0.95,10.5
6,7.7,15,0.63,0.08,1.9,0.076,27,0.9967,3.32,0.54,9.5
5,7.7,17,0.67,0.23,2.1,0.088,96,0.9962,3.32,0.48,9.5
5,7.7,18,0.69,0.22,1.9,0.084,94,0.9961,3.31,0.48,9.5
4,8.3,11,0.675,0.26,2.1,0.084,43,0.9976,3.31,0.53,9.2
5,9.7,28,0.32,0.54,2.5,0.094,83,0.9984,3.28,0.82,9.6
5,8.8,9,0.41,0.64,2.2,0.093,42,0.9986,3.54,0.66,10.5
6,6.8,14,0.785,0,2.4,0.104,30,0.9966,3.52,0.55,10.7
5,6.7,12,0.75,0.12,2,0.086,80,0.9958,3.38,0.52,10.1
4,8.3,27,0.625,0.2,1.5,0.08,119,0.9972,3.16,1.12,9.1
5,6.2,3,0.45,0.2,1.6,0.069,15,0.9958,3.41,0.56,9.2
5,7.8,22,0.43,0.7,1.9,0.464,67,0.9974,3.13,1.28,9.4
5,7.4,21,0.5,0.47,2,0.086,73,0.997,3.36,0.57,9.1
5,7.3,16,0.67,0.26,1.8,0.401,51,0.9969,3.16,1.14,9.4
6,6.3,18,0.3,0.48,1.8,0.069,61,0.9959,3.44,0.78,10.3
5,6.9,19,0.55,0.15,2.2,0.076,40,0.9961,3.41,0.59,10.1
6,8.6,20,0.49,0.28,1.9,0.11,136,0.9972,2.93,1.95,9.9
5,7.7,9,0.49,0.26,1.9,0.062,31,0.9966,3.39,0.64,9.6
5,9.3,34,0.39,0.44,2.1,0.107,125,0.9978,3.14,1.22,9.5
5,7,8,0.62,0.08,1.8,0.076,24,0.9978,3.48,0.53,9
5,7.9,42,0.52,0.26,1.9,0.079,140,0.9964,3.23,0.54,9.5
5,8.6,19,0.49,0.29,2,0.11,133,0.9972,2.93,1.98,9.8
4,5,41,1.02,0.04,1.4,0.045,85,0.9938,3.75,0.48,10.5
6,4.7,17,0.6,0.17,2.3,0.058,106,0.9932,3.85,0.6,12.9
5,6.8,8,0.775,0,3,0.102,23,0.9965,3.45,0.56,10.7
5,7,3,0.5,0.25,2,0.07,22,0.9963,3.25,0.63,9.2
5,7.6,5,0.9,0.06,2.5,0.079,10,0.9967,3.39,0.56,9.8
6,8.1,13,0.545,0.18,1.9,0.08,35,0.9972,3.3,0.59,9
6,8.3,11,0.61,0.3,2.1,0.084,50,0.9972,3.4,0.61,10.2
6,7.8,8,0.5,0.3,1.9,0.075,22,0.9959,3.31,0.56,10.4
5,8.1,12,0.575,0.22,2.1,0.077,65,0.9967,3.29,0.51,9.2
5,7.2,5,0.49,0.24,2.2,0.07,36,0.996,3.33,0.48,9.4
5,7.8,18,0.41,0.68,1.7,0.467,69,0.9973,3.08,1.31,9.3
5,6.2,15,0.63,0.31,1.7,0.088,64,0.9969,3.46,0.79,9.3
6,8,18,0.33,0.53,2.5,0.091,80,0.9976,3.37,0.8,9.6
5,8.1,37,0.785,0.52,2,0.122,153,0.9969,3.21,0.69,9.3
5,7.8,12,0.56,0.19,1.8,0.104,47,0.9964,3.19,0.93,9.5
5,8.4,11,0.62,0.09,2.2,0.084,108,0.9964,3.15,0.66,9.8
5,8.4,14,0.6,0.1,2.2,0.085,111,0.9964,3.15,0.66,9.8
6,10.1,22,0.31,0.44,2.3,0.08,46,0.9988,3.32,0.67,9.7
6,9.4,13,0.4,0.31,2.2,0.09,62,0.9966,3.07,0.63,10.5
6,8.3,11,0.54,0.28,1.9,0.077,40,0.9978,3.39,0.61,10
6,7.8,7,0.56,0.12,2,0.082,28,0.997,3.37,0.5,9.4
6,8.8,14,0.55,0.04,2.2,0.119,56,0.9962,3.21,0.6,10.9
6,7,22,0.69,0.08,1.8,0.097,89,0.9959,3.34,0.54,9.2
5,7.3,10,1.07,0.09,1.7,0.178,89,0.9962,3.3,0.57,9
5,7.3,3,0.695,0,2.5,0.075,13,0.998,3.49,0.52,9.2
5,8,11,0.71,0,2.6,0.08,34,0.9976,3.44,0.53,9.5
5,7.8,21,0.5,0.17,1.6,0.082,102,0.996,3.39,0.48,9.5
5,9,27,0.62,0.04,1.9,0.146,90,0.9984,3.16,0.7,9.4
5,8.2,3,1.33,0,1.7,0.081,12,0.9964,3.53,0.49,10.9
5,8.1,3,1.33,0,1.8,0.082,12,0.9964,3.54,0.48,10.9
7,8,3,0.59,0.16,1.8,0.065,16,0.9962,3.42,0.92,10.5
5,6.1,6,0.38,0.15,1.8,0.072,19,0.9955,3.42,0.57,9.4
5,8,30,0.745,0.56,2,0.118,134,0.9968,3.24,0.66,9.4
5,5.6,17,0.5,0.09,2.3,0.049,99,0.9937,3.63,0.63,13
6,6.6,17,0.5,0.01,1.5,0.06,26,0.9952,3.4,0.58,9.8
6,7.9,13,1.04,0.05,2.2,0.084,29,0.9959,3.22,0.55,9.9
5,8.4,16,0.745,0.11,1.9,0.09,63,0.9965,3.19,0.82,9.6
5,8.3,10,0.715,0.15,1.8,0.089,52,0.9968,3.23,0.77,9.5
5,7.2,13,0.415,0.36,2,0.081,45,0.9972,3.48,0.64,9.2
5,7.8,15,0.56,0.19,2.1,0.081,105,0.9962,3.33,0.54,9.5
5,7.8,17,0.56,0.19,2,0.081,108,0.9962,3.32,0.54,9.5
6,5.2,27,0.34,0,1.8,0.05,63,0.9916,3.68,0.79,14
5,6.3,3,0.39,0.08,1.7,0.066,20,0.9954,3.34,0.58,9.4
5,8.1,32,0.67,0.55,1.8,0.117,141,0.9968,3.17,0.62,9.4
5,5.8,21,0.68,0.02,1.8,0.087,94,0.9944,3.54,0.52,10
5,7.6,10,0.49,0.26,1.6,0.236,88,0.9968,3.11,0.8,9.3
6,6.9,12,0.49,0.1,2.3,0.074,30,0.9959,3.42,0.58,10.2
6,8.2,11,0.4,0.44,2.8,0.089,43,0.9975,3.53,0.61,10.5
6,7.3,5,0.33,0.47,2.1,0.077,11,0.9958,3.33,0.53,10.3
4,9.2,32,0.52,1,3.4,0.61,69,0.9996,2.74,2,9.4
5,7.5,25,0.6,0.03,1.8,0.095,99,0.995,3.35,0.54,10.1
5,7.1,29,0.43,0.42,5.5,0.07,129,0.9973,3.42,0.72,10.5
5,7.1,28,0.43,0.42,5.5,0.071,128,0.9973,3.42,0.71,10.5
5,7.1,12,0.68,0,2.2,0.073,22,0.9969,3.48,0.5,9.3
6,6.8,18,0.6,0.18,1.9,0.079,86,0.9968,3.59,0.57,9.3
5,7.6,7,0.95,0.03,2,0.09,20,0.9959,3.2,0.56,9.6
4,7.6,9,0.68,0.02,1.3,0.072,20,0.9965,3.17,1.08,9.2
6,7.8,17,0.53,0.04,1.7,0.076,31,0.9964,3.33,0.56,10
5,7.4,36,0.6,0.26,7.3,0.07,121,0.9982,3.37,0.49,9.4
5,7.3,35,0.59,0.26,7.2,0.07,121,0.9981,3.37,0.49,9.4
5,7.8,14,0.63,0.48,1.7,0.1,96,0.9961,3.19,0.62,9.5
5,6.8,18,0.64,0.1,2.1,0.085,101,0.9956,3.34,0.52,10.2
4,7.3,17,0.55,0.03,1.6,0.072,42,0.9956,3.37,0.48,9
6,6.8,11,0.63,0.07,2.1,0.089,44,0.9953,3.47,0.55,10.4
5,7.5,15,0.705,0.24,1.8,0.36,63,0.9964,3,1.59,9.5
4,7.9,4,0.885,0.03,1.8,0.058,8,0.9972,3.36,0.33,9.1
6,8,6,0.42,0.17,2,0.073,18,0.9972,3.29,0.61,9.2
6,7.4,24,0.62,0.05,1.9,0.068,42,0.9961,3.42,0.57,11.5
5,7.3,7,0.38,0.21,2,0.08,35,0.9961,3.33,0.47,9.5
5,6.9,19,0.5,0.04,1.5,0.085,49,0.9958,3.35,0.78,9.5
6,7.5,8,0.52,0.42,2.3,0.087,38,0.9972,3.58,0.61,10.5
5,7,7,0.805,0,2.5,0.068,20,0.9969,3.48,0.56,9.6
5,8.8,10,0.61,0.14,2.4,0.067,42,0.9969,3.19,0.59,9.5
5,8.9,23,0.61,0.49,2,0.27,110,0.9972,3.12,1.02,9.3
5,7.2,16,0.73,0.02,2.5,0.076,42,0.9972,3.44,0.52,9.3
5,6.8,11,0.61,0.2,1.8,0.077,65,0.9971,3.54,0.58,9.3
6,6.7,8,0.62,0.21,1.9,0.079,62,0.997,3.52,0.58,9.3
5,8.9,26,0.31,0.57,2,0.111,85,0.9971,3.26,0.53,9.7
5,7.4,14,0.39,0.48,2,0.082,67,0.9972,3.34,0.55,9.2
5,7.7,9,0.705,0.1,2.6,0.084,26,0.9976,3.39,0.49,9.7
5,7.9,15,0.5,0.33,2,0.084,143,0.9968,3.2,0.55,9.5
5,7.9,17,0.49,0.32,1.9,0.082,144,0.9968,3.2,0.55,9.5
5,8.2,21,0.5,0.35,2.9,0.077,127,0.9976,3.23,0.62,9.4
6,6.4,21,0.37,0.25,1.9,0.074,49,0.9974,3.57,0.62,9.8
5,6.8,16,0.63,0.12,3.8,0.099,126,0.9969,3.28,0.61,9.5
5,7.6,7,0.55,0.21,2.2,0.071,28,0.9964,3.28,0.55,9.7
5,7.8,24,0.59,0.33,2,0.074,120,0.9968,3.25,0.54,9.4
5,7.3,15,0.58,0.3,2.4,0.074,55,0.9968,3.46,0.59,10.2
6,11.5,12,0.3,0.6,2,0.067,27,0.9981,3.11,0.97,10.1
7,5.4,13,0.835,0.08,1.2,0.046,93,0.9924,3.57,0.85,13
4,6.9,12,1.09,0.06,2.1,0.061,31,0.9948,3.51,0.43,11.4
7,9.6,9,0.32,0.47,1.4,0.056,24,0.99695,3.22,0.82,10.3
5,8.8,39,0.37,0.48,2.1,0.097,145,0.9975,3.04,1.03,9.3
5,6.8,16,0.5,0.11,1.5,0.075,49,0.99545,3.36,0.79,9.5
5,7,16,0.42,0.35,1.6,0.088,39,0.9961,3.34,0.55,9.2
6,7,14,0.43,0.36,1.6,0.089,37,0.99615,3.34,0.56,9.2
7,12.8,9,0.3,0.74,2.6,0.095,28,0.9994,3.2,0.77,10.8
5,7.8,26,0.57,0.31,1.8,0.069,120,0.99625,3.29,0.53,9.3
5,7.8,18,0.44,0.28,2.7,0.1,95,0.9966,3.22,0.67,9.4
7,11,7,0.3,0.58,2.1,0.054,19,0.998,3.31,0.88,10.5
6,9.7,5,0.53,0.6,2,0.039,19,0.99585,3.3,0.86,12.4
6,8,10,0.725,0.24,2.8,0.083,62,0.99685,3.35,0.56,10
6,11.6,5,0.44,0.64,2.1,0.059,15,0.998,3.21,0.67,10.2
5,8.2,28,0.57,0.26,2.2,0.06,65,0.9959,3.3,0.43,10.1
6,7.8,10,0.735,0.08,2.4,0.092,41,0.9974,3.24,0.71,9.8
5,7,26,0.49,0.49,5.6,0.06,121,0.9974,3.34,0.76,10.5
5,8.7,13,0.625,0.16,2,0.101,49,0.9962,3.14,0.57,11
5,8.1,11,0.725,0.22,2.2,0.072,41,0.9967,3.36,0.55,9.1
5,7.5,10,0.49,0.19,1.9,0.076,44,0.9957,3.39,0.54,9.7
5,7.8,24,0.53,0.33,2.4,0.08,144,0.99655,3.3,0.6,9.5
6,7.8,24,0.34,0.37,2,0.082,58,0.9964,3.34,0.59,9.4
5,7.4,16,0.53,0.26,2,0.101,72,0.9957,3.15,0.57,9.4
5,6.8,5,0.61,0.04,1.5,0.057,10,0.99525,3.42,0.6,9.5
6,8.6,8,0.645,0.25,2,0.083,28,0.99815,3.28,0.6,10
4,8.4,15,0.635,0.36,2,0.089,55,0.99745,3.31,0.57,10.4
6,7.7,29,0.43,0.25,2.6,0.073,63,0.99615,3.37,0.58,10.5
6,8.9,27,0.59,0.5,2,0.337,81,0.9964,3.04,1.61,9.5
5,9,9,0.82,0.14,2.6,0.089,23,0.9984,3.39,0.63,9.8
5,6.9,10,0.52,0.25,2.6,0.081,37,0.99685,3.46,0.5,11
7,5.2,19,0.48,0.04,1.6,0.054,106,0.9927,3.54,0.62,12.2
6,8,12,0.38,0.06,1.8,0.078,49,0.99625,3.37,0.52,9.9
6,8.5,18,0.37,0.2,2.8,0.09,58,0.998,3.34,0.7,9.6
6,8.2,7,1,0.09,2.3,0.065,37,0.99685,3.32,0.55,9
6,7.2,14,0.63,0,1.9,0.097,38,0.99675,3.37,0.58,9
6,7.2,15,0.645,0,1.9,0.097,39,0.99675,3.37,0.58,9.2
5,8.9,5,0.635,0.37,1.7,0.263,62,0.9971,3,1.09,9.3
6,12,6,0.38,0.56,2.1,0.093,24,0.99925,3.14,0.71,10.9
6,7.7,28,0.58,0.1,1.8,0.102,109,0.99565,3.08,0.49,9.8
7,15,10,0.21,0.44,2.2,0.075,24,1.00005,3.07,0.84,9.2
6,7.3,6,0.66,0,2,0.084,23,0.9983,3.61,0.96,9.9
5,7.1,16,0.68,0.07,1.9,0.075,51,0.99685,3.38,0.52,9.5
5,8.2,11,0.6,0.17,2.3,0.072,73,0.9963,3.2,0.45,9.3
6,7.7,9,0.53,0.06,1.7,0.074,39,0.99615,3.35,0.48,9.8
6,10.8,16,0.32,0.44,1.6,0.063,37,0.9985,3.22,0.78,10
6,7.1,16,0.6,0,1.8,0.074,34,0.9972,3.47,0.7,9.9
5,11.1,5,0.35,0.48,3.1,0.09,21,0.9986,3.17,0.53,10.5
5,7.7,8,0.775,0.42,1.9,0.092,86,0.9959,3.23,0.59,9.5
5,8,17,0.57,0.23,3.2,0.073,119,0.99675,3.26,0.57,9.3
5,9.4,5,0.34,0.37,2.2,0.075,13,0.998,3.22,0.62,9.2
5,6.6,12,0.695,0,2.1,0.075,56,0.9968,3.49,0.67,9.2
5,7.7,8,0.41,0.76,1.8,0.611,45,0.9968,3.06,1.26,9.4
7,10,14,0.31,0.47,2.6,0.085,33,0.99965,3.36,0.8,10.5
5,7.9,18,0.33,0.23,1.7,0.077,45,0.99625,3.29,0.65,9.3
4,7,12,0.975,0.04,2,0.087,67,0.99565,3.35,0.6,9.4
5,8,10,0.52,0.03,1.7,0.07,35,0.99575,3.34,0.57,10
5,7.9,23,0.37,0.23,1.8,0.077,49,0.9963,3.28,0.67,9.3
5,12.5,5,0.56,0.49,2.4,0.064,27,0.9999,3.08,0.87,10.9
7,11.8,6,0.26,0.52,1.8,0.071,10,0.9968,3.2,0.72,10.2
4,8.1,26,0.87,0,3.3,0.096,61,1.00025,3.6,0.72,9.8
8,7.9,15,0.35,0.46,3.6,0.078,37,0.9973,3.35,0.86,12.8
6,6.9,7,0.54,0.04,3,0.077,27,0.9987,3.69,0.91,9.4
6,11.5,4,0.18,0.51,4,0.104,23,0.9996,3.28,0.97,10.1
6,7.9,27,0.545,0.06,4,0.087,61,0.9965,3.36,0.67,10.7
5,10.9,17,0.37,0.58,4,0.071,65,0.99935,3.22,0.78,10.1
5,8.4,10,0.715,0.2,2.4,0.076,38,0.99735,3.31,0.64,9.4
5,7.5,27,0.65,0.18,7,0.088,94,0.99915,3.38,0.77,9.4
8,10.3,5,0.32,0.45,6.4,0.073,13,0.9976,3.23,0.82,12.6
7,8.9,10,0.4,0.32,5.6,0.087,47,0.9991,3.38,0.77,10.5
6,11.4,6,0.26,0.44,3.6,0.071,19,0.9986,3.12,0.82,9.3
7,7.7,5,0.27,0.68,3.5,0.358,10,0.9972,3.25,1.08,9.9
5,7.6,12,0.52,0.12,3,0.067,53,0.9971,3.36,0.57,9.1
5,9.9,32,0.59,0.07,3.4,0.102,71,1.00015,3.31,0.71,9.8
6,12,25,0.45,0.55,2,0.073,49,0.9997,3.1,0.76,10.3
6,7.5,29,0.4,0.12,3,0.092,53,0.9967,3.37,0.7,10.3
7,8.7,20,0.52,0.09,2.5,0.091,49,0.9976,3.34,0.86,10.6
5,11.6,33,0.42,0.53,3.3,0.105,98,1.001,3.2,0.95,9.2
5,11,6,0.2,0.48,2,0.343,18,0.9979,3.3,0.71,10.5
6,10.4,18,0.55,0.23,2.7,0.091,48,0.9994,3.22,0.64,10.3
6,6.9,5,0.36,0.25,2.4,0.098,16,0.9964,3.41,0.6,10.1
6,13.3,17,0.34,0.52,3.2,0.094,53,1.0014,3.05,0.81,9.5
5,10.8,5,0.5,0.46,2.5,0.073,27,1.0001,3.05,0.64,9.5
5,10.6,26,0.83,0.37,2.6,0.086,70,0.9981,3.16,0.52,9.9
5,7.1,8,0.63,0.06,2,0.083,29,0.99855,3.67,0.73,9.6
5,7.2,5,0.65,0.02,2.3,0.094,31,0.9993,3.67,0.8,9.7
5,6.9,8,0.67,0.06,2.1,0.08,33,0.99845,3.68,0.71,9.6
6,7.5,20,0.53,0.06,2.6,0.086,44,0.9965,3.38,0.59,10.7
6,11.1,7,0.18,0.48,1.5,0.068,15,0.9973,3.22,0.64,10.1
5,8.3,12,0.705,0.12,2.6,0.092,28,0.9994,3.51,0.72,10
5,7.4,5,0.67,0.12,1.6,0.186,21,0.996,3.39,0.54,9.5
5,8.4,12,0.65,0.6,2.1,0.112,90,0.9973,3.2,0.52,9.2
6,10.3,6,0.53,0.48,2.5,0.063,25,0.9998,3.12,0.59,9.3
5,7.6,7,0.62,0.32,2.2,0.082,54,0.9966,3.36,0.52,9.4
6,10.3,6,0.41,0.42,2.4,0.213,14,0.9994,3.19,0.62,9.5
6,10.3,5,0.43,0.44,2.4,0.214,12,0.9994,3.19,0.63,9.5
6,7.4,9,0.29,0.38,1.7,0.062,30,0.9968,3.41,0.53,9.5
6,7.9,15,0.53,0.24,2,0.072,105,0.996,3.27,0.54,9.4
6,9,19,0.46,0.31,2.8,0.093,98,0.99815,3.32,0.63,9.5
5,8.6,30,0.47,0.3,3,0.076,135,0.9976,3.3,0.53,9.4
5,7.4,26,0.36,0.29,2.6,0.087,72,0.99645,3.39,0.68,11
6,7.1,20,0.35,0.29,2.5,0.096,53,0.9962,3.42,0.65,11
5,9.6,37,0.56,0.23,3.4,0.102,92,0.9996,3.3,0.65,10.1
6,9.6,30,0.77,0.12,2.9,0.082,74,0.99865,3.3,0.64,10.4
7,9.8,21,0.66,0.39,3.2,0.083,59,0.9989,3.37,0.71,11.5
5,9.3,25,0.61,0.26,3.4,0.09,87,0.99975,3.24,0.62,9.7
5,7.8,6,0.62,0.05,2.3,0.079,18,0.99735,3.29,0.63,9.3
6,10.3,35,0.59,0.42,2.8,0.09,73,0.999,3.28,0.7,9.5
6,10,13,0.49,0.2,11,0.071,50,1.0015,3.16,0.69,9.2
7,11.6,6,0.53,0.66,3.65,0.121,14,0.9978,3.05,0.74,11.5
5,10.3,5,0.44,0.5,4.5,0.107,13,0.998,3.28,0.83,11.5
6,13.4,6,0.27,0.62,2.6,0.082,21,1.0002,3.16,0.67,9.7
5,10.7,7,0.46,0.39,2,0.061,15,0.9981,3.18,0.62,9.5
6,10.2,10,0.36,0.64,2.9,0.122,41,0.998,3.23,0.66,12.5
6,8,21,0.58,0.28,3.2,0.066,114,0.9973,3.22,0.54,9.4
5,8.4,16,0.56,0.08,2.1,0.105,44,0.9958,3.13,0.52,11
7,7.9,17,0.65,0.01,2.5,0.078,38,0.9963,3.34,0.74,11.7
7,11.9,7,0.695,0.53,3.4,0.128,21,0.9992,3.17,0.84,12.2
6,8.9,6,0.43,0.45,1.9,0.052,16,0.9948,3.35,0.7,12.5
5,7.8,29,0.43,0.32,2.8,0.08,58,0.9974,3.31,0.64,10.3
6,12.4,28,0.49,0.58,3,0.103,99,1.0008,3.16,1,11.5
7,12.5,12,0.28,0.54,2.3,0.082,29,0.9997,3.11,1.36,9.8
6,12.2,10,0.34,0.5,2.4,0.066,21,1,3.12,1.18,9.2
6,10.6,5,0.42,0.48,2.7,0.065,18,0.9972,3.21,0.87,11.3
6,10.9,6,0.39,0.47,1.8,0.118,14,0.9982,3.3,0.75,9.8
6,11.9,6,0.57,0.5,2.6,0.082,32,1.0006,3.12,0.78,10.7
